supplier_country,supplier_region,political_stability_index,infrastructure_score,natural_disaster_frequency,corruption_index,conflict_score,sanctions_exposure,export_restriction_risk,diplomatic_relations_score,distance_km,is_landlocked,supplier_tenure_years,contract_type,communication_responsiveness_hours,num_alternative_suppliers,supplier_tier,quality_incidents,audit_score,iso_certified,regulatory_violations,financial_stability_index,debt_to_equity,payment_delay_days,dependency_ratio,revenue_trend_yoy,num_employees,on_time_delivery_rate,avg_lead_time_days,lead_time_variability,order_fulfillment_rate,capacity_utilization,past_disruptions_lagged,avg_recovery_time_lagged,inventory_buffer_days,num_active_contracts,transport_mode,labor_strike_history,archetype,risk_level
Belgium,Western Europe,0.4,77.5,1.7,69.0,0.0,0,0,73.4,2103,0,7,spot,1.0,4,Tier 2,1,87.3,1,0,72.5,0.31,-5.0,8.1,7.4,1928,95.9,12,3.2,92.4,77.0,0,0.0,37,5,air,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,75.0,511,0,13,long-term,1.0,4,Tier 2,1,84.6,1,0,76.8,0.33,3.3,16.4,4.1,1759,96.6,6,3.8,91.1,68.0,0,9.4,35,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,73.2,100,0,12,long-term,24.1,4,Tier 1,1,100.0,1,0,96.9,0.0,-2.1,12.4,20.1,1922,95.7,1,0.0,93.9,60.4,0,2.0,35,7,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,82.2,767,0,13,long-term,11.5,4,Tier 1,0,99.9,1,0,76.4,0.63,-5.0,29.2,10.3,2173,96.4,1,2.4,100.0,61.9,1,0.4,22,9,land,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,98.8,1909,0,7,long-term,1.0,3,Tier 1,1,85.9,1,0,71.1,0.07,2.1,25.4,5.0,2794,92.5,1,1.6,96.3,62.0,0,5.0,37,4,air,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,90.2,1180,0,12,long-term,1.0,5,Tier 1,0,72.3,0,0,75.3,0.95,-3.9,3.3,11.0,2620,87.8,1,3.0,100.0,64.4,0,0.0,28,5,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,99.2,144,0,12,long-term,1.0,3,Tier 3,0,85.2,1,0,76.9,0.0,-2.0,18.2,10.6,1817,93.6,7,0.0,96.4,69.5,0,0.0,30,4,land,0,0,0
Denmark,Western Europe,0.85,77.5,0.4,89.0,0.0,0,0,76.3,960,0,12,long-term,1.0,3,Tier 2,0,77.5,1,0,83.9,0.7,8.5,22.5,14.4,2060,100.0,4,0.4,100.0,62.2,0,0.2,45,4,air,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,99.6,1184,0,9,long-term,1.0,4,Tier 1,0,88.6,1,1,98.9,0.62,-5.0,11.3,8.8,1695,90.8,16,0.8,96.9,67.9,0,4.7,32,6,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,81.5,437,0,13,long-term,6.2,4,Tier 2,1,93.4,1,0,86.6,1.19,-2.8,7.7,13.9,2094,100.0,1,1.9,100.0,64.1,0,3.7,37,1,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,84.3,766,0,13,long-term,17.7,5,Tier 1,0,75.2,1,2,77.3,0.0,1.3,17.2,9.8,1763,98.6,1,0.0,92.0,63.8,0,0.0,39,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,1,0,87.3,100,0,12,long-term,1.0,4,Tier 1,0,82.1,1,0,85.9,0.74,-5.0,6.3,14.2,2263,94.9,2,2.6,100.0,70.2,0,0.0,31,15,sea,0,0,4
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,91.6,1362,0,13,long-term,12.5,3,Tier 1,0,98.9,1,0,92.7,0.0,2.8,6.9,15.9,1572,96.5,1,2.1,100.0,66.2,0,2.8,35,4,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,95.9,232,0,14,long-term,1.0,5,Tier 1,1,90.9,1,0,71.6,0.36,-4.4,13.9,8.9,1626,98.9,6,1.7,100.0,72.4,0,2.7,41,1,sea,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,100.0,665,0,10,long-term,1.0,4,Tier 2,1,90.0,1,0,100.0,0.0,-5.0,21.1,18.3,1940,91.9,17,0.0,99.7,72.9,0,0.0,32,1,sea,0,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,0,88.3,1489,0,12,long-term,1.0,3,Tier 1,0,100.0,1,0,82.2,0.17,-4.9,4.8,17.9,2502,92.1,14,0.1,100.0,73.5,0,1.3,41,1,air,0,0,0
Belgium,Western Europe,0.4,77.5,1.7,69.0,0.0,0,0,80.5,217,0,13,long-term,1.0,4,Tier 2,0,98.0,1,1,98.3,0.04,0.9,13.6,15.1,2453,95.8,1,1.9,93.8,64.1,0,5.9,35,6,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,98.5,100,0,13,long-term,22.7,4,Tier 2,0,90.4,1,0,98.4,0.0,10.3,8.2,22.5,1923,95.3,5,0.2,100.0,64.5,0,0.5,23,7,land,0,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,0,90.0,293,0,12,long-term,13.8,4,Tier 1,1,98.8,1,0,69.3,0.71,0.2,1.5,5.2,2116,100.0,1,2.0,95.3,69.9,0,5.4,33,1,land,0,0,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,84.1,1897,0,13,long-term,1.0,4,Tier 1,0,97.1,1,0,83.5,0.0,-5.0,8.4,14.1,1801,94.0,11,0.0,100.0,72.0,0,2.1,33,5,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,86.8,914,0,12,long-term,1.0,5,Tier 1,0,80.4,1,0,100.0,0.25,-2.4,31.2,15.6,1839,97.8,6,3.0,97.2,56.3,0,0.0,37,11,sea,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,80.4,1525,0,14,long-term,1.0,4,Tier 3,1,78.7,1,0,97.0,0.32,-5.0,25.1,8.8,1753,92.2,5,1.1,91.7,58.6,0,0.0,36,2,sea,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,90.5,956,0,12,long-term,1.0,5,Tier 2,1,88.1,1,0,92.6,0.75,-5.0,9.2,11.2,2486,99.8,1,0.7,96.8,58.0,1,1.5,34,3,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,66.9,100,0,7,long-term,5.1,3,Tier 3,0,92.3,1,0,100.0,0.0,1.8,2.5,7.7,1513,93.3,2,0.6,96.1,56.4,0,0.0,40,6,land,0,0,0
Italy,Western Europe,0.58,70.0,6.5,53.0,0.0,0,0,96.5,966,0,15,long-term,18.0,3,Tier 2,0,100.0,1,0,83.9,0.14,-1.3,18.4,16.5,2001,100.0,16,1.4,99.6,55.9,0,0.0,31,4,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,77.2,867,1,8,long-term,4.7,4,Tier 1,0,96.4,1,0,69.6,0.24,-3.4,5.3,11.1,2147,97.0,8,3.5,96.3,66.7,0,0.0,35,1,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,89.7,1011,0,9,long-term,42.6,5,Tier 3,1,77.5,1,0,68.5,0.54,-4.4,0.0,8.0,2045,96.0,1,0.0,98.4,61.5,0,0.7,39,1,sea,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,92.1,918,0,12,long-term,1.0,3,Tier 2,1,95.5,1,0,84.2,0.24,-2.6,9.0,13.3,1806,97.9,1,0.0,100.0,59.6,0,5.0,32,2,air,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,97.7,959,0,10,long-term,24.4,2,Tier 2,0,82.8,0,1,92.6,0.18,-1.3,19.9,13.5,1401,91.4,12,0.6,95.4,56.8,0,0.0,30,2,land,1,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,80.8,1632,0,12,spot,1.0,3,Tier 2,0,77.8,1,0,86.8,0.48,-5.0,14.1,14.7,1895,98.3,3,2.2,94.0,58.1,0,2.1,34,8,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,87.7,504,0,10,long-term,10.5,3,Tier 1,1,95.7,1,0,96.4,1.3,-5.0,5.8,21.1,1460,100.0,7,1.1,91.6,62.3,0,10.7,26,2,sea,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,88.3,1756,0,15,long-term,1.0,3,Tier 1,0,91.8,1,0,94.9,0.56,-5.0,35.4,13.5,1767,97.8,7,0.0,99.0,61.4,0,0.0,38,3,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,68.2,1778,1,10,spot,1.0,5,Tier 3,1,94.1,1,0,76.2,0.44,-1.6,23.5,11.4,1885,99.7,11,0.0,97.7,58.6,1,0.0,36,1,air,1,0,1
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,72.2,1682,0,15,long-term,1.0,4,Tier 2,0,93.0,1,0,77.7,0.0,-5.0,27.4,15.6,1595,100.0,8,1.5,100.0,75.4,0,5.9,38,6,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,73.1,851,0,12,long-term,10.4,4,Tier 2,1,96.3,1,0,95.5,0.0,-4.5,17.0,1.3,2053,100.0,1,2.4,94.5,66.2,0,0.0,35,12,sea,0,0,0
Portugal,Western Europe,0.71,65.0,1.5,56.0,0.0,0,0,95.6,801,0,10,long-term,13.1,5,Tier 2,0,100.0,1,0,75.4,0.0,-5.0,19.1,10.9,2114,100.0,8,1.8,97.7,57.9,0,7.3,32,3,air,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,100.0,525,0,10,long-term,4.4,3,Tier 1,0,85.0,1,0,82.4,0.0,-5.0,15.3,2.8,1736,100.0,4,0.1,96.3,63.0,0,4.9,36,5,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,86.6,708,0,12,long-term,2.1,4,Tier 2,0,95.8,1,0,99.5,0.0,0.4,12.0,15.5,1635,100.0,1,0.4,100.0,60.9,0,0.0,42,4,air,1,0,0
Germany,Western Europe,0.59,82.5,2.3,77.0,0.0,0,1,78.2,1465,0,13,long-term,5.1,4,Tier 2,0,99.5,1,0,78.9,0.38,1.7,0.0,12.0,2047,95.6,14,1.4,100.0,63.7,0,6.7,29,11,air,0,0,3
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,74.5,1719,0,15,long-term,1.0,3,Tier 2,0,100.0,1,0,100.0,0.14,2.4,9.3,5.2,2124,100.0,1,0.3,100.0,68.6,0,0.0,32,1,air,0,0,0
Switzerland,Western Europe,1.07,85.0,1.4,80.0,0.0,0,0,93.3,385,0,13,long-term,2.7,4,Tier 1,1,97.5,1,0,84.5,0.04,-2.6,14.2,10.1,2289,100.0,11,0.0,94.8,63.9,1,0.0,31,3,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,76.9,205,0,9,long-term,1.0,3,Tier 1,0,80.0,1,0,89.3,0.1,-3.4,16.2,4.5,2288,100.0,2,0.2,100.0,64.3,0,4.9,40,4,sea,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,90.9,836,0,8,spot,19.3,3,Tier 3,0,77.7,1,0,86.2,0.08,0.9,13.7,13.4,2160,99.7,12,1.3,95.6,61.1,0,0.0,41,4,air,0,0,0
Ireland,Western Europe,0.9,62.5,0.8,76.0,0.0,0,0,100.0,1003,0,10,long-term,1.0,4,Tier 1,0,90.6,1,0,79.1,0.42,-5.0,3.4,15.5,2185,90.5,1,0.0,97.4,71.9,0,1.2,24,2,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,99.5,773,0,9,long-term,1.0,3,Tier 2,0,93.3,1,0,76.2,0.09,-5.0,11.1,11.7,1959,100.0,17,0.0,87.8,64.4,0,3.9,34,1,land,0,0,0
Portugal,Western Europe,0.71,65.0,1.5,56.0,0.0,0,0,81.6,1812,0,10,long-term,1.0,4,Tier 1,0,87.4,1,0,84.9,0.65,-3.7,14.5,13.1,2524,95.9,5,2.4,96.1,66.7,0,7.1,36,1,land,0,0,0
Austria,Western Europe,0.73,72.5,1.0,69.0,0.0,0,0,88.6,1114,0,7,long-term,41.2,4,Tier 2,0,94.9,1,0,78.2,0.47,-2.4,17.7,6.8,1751,90.2,2,0.0,96.5,61.8,0,2.8,50,9,land,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,87.1,1113,0,13,long-term,1.0,4,Tier 1,1,86.6,1,1,74.9,0.0,-1.0,8.4,10.7,1710,100.0,2,0.2,99.9,56.7,0,0.0,38,8,air,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,82.6,326,0,12,long-term,3.0,4,Tier 1,0,89.4,1,0,73.8,0.56,2.6,6.2,-1.3,2003,94.9,3,2.2,98.7,59.1,0,0.0,33,4,sea,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,85.0,1784,1,11,long-term,1.0,4,Tier 1,0,88.4,1,0,77.6,0.0,-2.9,19.3,13.2,2376,100.0,12,1.3,91.1,63.8,1,7.3,33,1,sea,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,73.7,1695,0,11,long-term,1.0,3,Tier 1,0,73.3,1,0,88.9,0.0,-5.0,23.9,13.4,1956,99.8,16,0.5,98.3,66.2,0,14.0,32,3,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,93.5,3290,0,11,long-term,10.8,3,Tier 1,0,87.4,1,0,77.7,0.24,7.0,22.3,12.0,1929,97.4,3,0.0,100.0,65.9,0,4.0,27,3,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,90.9,1591,0,13,spot,11.1,4,Tier 2,0,97.2,1,0,94.2,1.12,-5.0,24.6,7.8,2040,100.0,3,0.8,89.0,61.0,0,0.0,39,5,air,0,0,0
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,0,88.2,1102,0,11,long-term,15.6,4,Tier 2,0,83.0,1,0,84.6,0.9,1.9,7.2,11.7,1498,98.0,2,0.0,100.0,71.2,0,7.0,29,6,air,1,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,1,93.5,1081,0,16,long-term,1.1,3,Tier 3,0,83.7,1,0,87.2,0.86,5.3,22.4,15.6,2665,100.0,12,0.0,100.0,67.4,0,1.6,35,1,sea,0,0,3
Switzerland,Western Europe,1.07,85.0,1.4,80.0,0.0,0,1,69.7,1559,0,10,spot,1.0,4,Tier 1,0,87.8,1,0,77.1,0.57,7.5,17.6,9.5,2679,97.4,7,1.2,100.0,63.0,0,2.9,33,6,air,0,0,3
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,83.8,1592,0,13,spot,1.0,4,Tier 1,0,76.0,1,0,65.7,0.03,11.8,21.5,7.6,2421,92.0,3,0.0,99.3,73.2,0,0.0,28,1,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,83.1,339,0,16,spot,3.6,4,Tier 1,0,98.6,1,0,77.6,0.0,1.7,5.9,10.2,2714,100.0,5,0.6,100.0,69.0,0,2.4,22,12,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,88.5,394,0,12,long-term,1.0,4,Tier 1,0,82.6,1,0,91.0,0.68,8.0,20.1,6.7,1923,98.5,18,0.0,100.0,66.1,0,6.2,43,3,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,94.8,1139,0,11,long-term,15.2,4,Tier 1,0,78.1,1,0,68.7,1.11,5.3,7.2,13.4,2125,100.0,1,2.4,95.3,57.0,0,5.6,46,6,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,67.4,100,0,13,long-term,1.0,5,Tier 2,0,93.3,1,0,100.0,0.48,-5.0,5.8,18.6,1949,97.4,11,1.8,99.4,63.7,0,0.4,36,5,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,100.0,1093,0,14,long-term,5.4,3,Tier 2,0,87.8,1,0,73.8,0.23,2.6,21.6,16.9,2115,99.8,8,3.2,95.9,65.3,0,0.0,33,2,sea,0,0,0
Norway,Western Europe,0.89,72.5,0.5,81.0,0.0,0,0,100.0,1137,0,10,long-term,6.9,6,Tier 1,0,99.2,1,1,65.0,0.87,-5.0,11.4,13.6,1800,92.6,1,3.6,100.0,68.4,0,0.0,36,9,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,76.8,811,0,12,long-term,12.8,5,Tier 1,0,96.6,1,0,81.7,0.72,1.3,13.1,5.6,1521,98.6,2,1.8,89.8,74.6,0,5.3,25,5,sea,0,0,0
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,62.3,1049,0,13,spot,1.0,3,Tier 2,0,90.1,1,0,79.7,0.09,-4.8,23.8,8.5,2193,95.1,1,0.0,92.1,65.2,0,0.0,34,1,sea,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,95.0,1136,0,14,long-term,14.4,5,Tier 1,1,84.9,1,1,98.7,0.04,0.8,35.2,11.1,2059,100.0,10,0.0,94.0,69.1,0,4.1,29,4,air,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,53.6,100,0,11,long-term,19.5,5,Tier 3,0,98.3,1,1,77.9,0.15,-3.1,25.2,10.1,2625,99.2,1,0.6,94.7,51.8,0,10.0,38,6,air,0,0,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,72.4,100,0,11,long-term,13.0,3,Tier 2,0,79.4,1,0,88.0,0.03,0.8,3.6,15.8,1745,100.0,3,0.0,100.0,66.1,0,0.4,32,7,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,1,92.2,100,0,12,long-term,1.0,4,Tier 1,1,92.5,1,0,94.9,0.26,9.9,0.0,7.2,1306,100.0,1,0.0,94.9,56.6,1,0.0,34,4,air,0,0,3
Sweden,Western Europe,0.76,80.0,0.5,80.0,0.0,0,0,95.9,413,0,12,long-term,1.0,4,Tier 2,0,90.2,1,0,89.3,0.09,-5.0,2.9,13.4,1885,100.0,6,0.0,98.8,57.2,0,1.6,36,7,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,75.3,1093,0,13,long-term,1.0,4,Tier 2,0,92.4,1,0,81.6,0.39,2.9,9.4,-2.2,2408,100.0,1,0.0,100.0,73.7,0,6.7,27,3,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,77.9,2447,0,11,long-term,1.0,2,Tier 1,0,74.2,1,1,93.0,0.62,-0.3,16.2,7.7,1779,88.5,4,2.0,100.0,63.5,0,4.5,43,3,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,89.0,100,0,13,spot,5.1,4,Tier 2,2,84.0,1,0,84.7,0.21,-0.7,9.0,10.3,1374,100.0,8,0.0,100.0,65.5,0,0.0,36,3,sea,0,0,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,64.4,100,0,8,long-term,1.0,4,Tier 1,0,85.5,0,0,85.7,0.71,0.4,17.6,2.1,2204,97.3,9,1.1,95.2,70.4,0,3.0,36,4,sea,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,95.4,100,0,10,long-term,1.0,3,Tier 1,0,96.9,0,0,81.4,0.0,-2.8,20.0,4.5,2495,99.9,3,2.0,100.0,63.0,0,0.9,28,5,air,0,0,0
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,98.2,1355,0,12,long-term,1.0,5,Tier 1,0,98.3,1,0,91.2,0.0,-0.4,13.8,7.1,2011,98.0,18,0.0,89.5,58.7,0,0.0,28,1,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,67.4,1445,0,12,long-term,1.9,5,Tier 2,0,100.0,1,0,73.8,0.73,-5.0,18.7,14.4,1011,99.0,22,0.0,97.7,53.3,0,0.0,40,1,sea,0,0,0
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,0,81.0,100,0,12,long-term,6.3,3,Tier 2,0,86.9,1,0,97.7,0.0,-5.0,18.8,7.9,2096,85.0,14,1.8,90.5,56.1,0,10.4,34,1,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,91.2,1494,0,9,long-term,1.0,5,Tier 2,0,95.6,1,0,81.1,0.38,-5.0,23.4,12.9,2063,92.5,9,0.0,94.5,65.5,0,14.5,34,6,land,1,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,96.9,100,0,14,long-term,9.0,5,Tier 1,0,84.6,1,0,76.6,0.83,5.8,32.9,22.4,2212,95.3,5,0.4,96.0,72.4,0,2.0,32,9,land,0,0,0
Denmark,Western Europe,0.85,77.5,0.4,89.0,0.0,0,0,79.7,2443,0,9,long-term,1.0,5,Tier 2,0,91.0,1,0,94.8,0.3,2.4,0.0,14.2,1808,100.0,10,1.2,100.0,59.0,0,10.1,35,1,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,86.3,911,0,14,long-term,1.0,4,Tier 1,1,85.4,1,0,86.9,0.4,-5.0,22.9,9.2,1990,94.6,7,1.7,93.0,66.5,0,0.0,30,10,air,0,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,0,70.7,322,0,10,long-term,7.8,5,Tier 1,1,95.6,1,0,84.0,0.27,-4.8,19.9,14.3,2215,94.6,11,2.5,91.9,63.2,0,7.9,32,1,sea,1,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,100.0,1283,0,12,long-term,1.0,3,Tier 2,0,81.3,1,0,91.6,0.36,-5.0,32.4,6.6,2391,100.0,14,0.1,97.3,65.3,0,0.0,41,5,air,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,88.2,768,0,13,long-term,6.7,4,Tier 3,0,83.0,1,0,87.3,0.01,-3.9,17.3,6.3,2105,92.5,12,4.3,93.7,68.2,0,0.0,30,6,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,90.5,100,0,15,long-term,1.0,3,Tier 1,0,96.6,1,0,75.0,0.63,-5.0,2.6,12.1,2007,82.8,13,0.0,97.3,73.0,0,13.0,44,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,95.0,287,0,10,long-term,20.1,5,Tier 1,0,90.2,1,0,63.6,0.05,8.0,27.5,9.1,2061,99.3,7,3.5,99.7,71.8,1,2.9,25,1,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,71.7,1291,0,12,long-term,21.6,5,Tier 1,0,82.8,1,0,72.2,0.6,-0.8,27.6,13.0,1679,100.0,1,0.5,100.0,53.7,0,9.2,34,1,sea,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,100.0,2294,0,15,long-term,1.0,4,Tier 2,1,84.7,1,0,68.9,0.0,-5.0,11.9,19.1,2005,94.7,1,1.5,100.0,54.8,0,1.7,28,6,air,0,0,0
Belgium,Western Europe,0.4,77.5,1.7,69.0,0.0,0,0,75.4,1034,0,10,long-term,1.0,4,Tier 1,0,83.4,1,0,75.2,0.24,8.8,23.4,9.7,1888,90.9,14,2.3,100.0,69.8,0,0.0,38,5,air,0,0,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,60.7,643,0,14,long-term,1.0,4,Tier 2,0,92.1,0,0,76.2,0.0,4.2,24.0,6.9,1608,93.8,5,0.2,98.8,70.5,0,4.3,23,6,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,89.8,1166,0,11,long-term,1.0,4,Tier 2,0,77.6,1,0,86.8,0.21,-2.4,10.1,10.0,2279,94.8,17,1.2,95.1,70.8,0,5.1,29,1,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,84.8,526,0,16,long-term,1.0,5,Tier 2,1,85.4,1,0,82.5,0.0,-5.0,10.7,10.7,1944,100.0,14,0.5,100.0,67.1,0,2.3,34,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,69.8,1151,0,14,long-term,14.3,3,Tier 1,0,100.0,1,0,66.7,0.4,-5.0,18.0,5.5,2277,100.0,2,1.3,98.4,73.9,0,0.0,37,4,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,100.0,1150,0,14,long-term,1.0,5,Tier 1,1,80.8,1,0,92.3,1.03,-5.0,0.0,13.2,2037,96.4,7,0.0,100.0,69.4,1,0.0,33,3,air,0,0,0
Portugal,Western Europe,0.71,65.0,1.5,56.0,0.0,0,0,71.8,305,0,14,long-term,1.0,3,Tier 1,0,91.0,1,0,72.9,0.62,-5.0,10.2,14.7,1801,97.2,4,1.0,86.1,54.0,0,5.1,38,6,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,74.4,534,0,9,long-term,4.8,4,Tier 1,0,100.0,1,0,74.7,0.45,4.0,26.8,11.7,1893,100.0,1,1.5,91.1,71.4,0,0.7,35,5,land,0,0,0
China,East Asia,-0.51,75.0,30.2,43.0,0.0,0,0,64.4,4454,0,5,spot,9.8,2,Tier 1,0,81.6,1,0,76.4,0.94,1.3,30.7,7.4,900,90.4,18,4.2,91.4,74.3,3,0.5,36,1,land,0,1,1
Austria,Western Europe,0.73,72.5,1.0,69.0,0.0,0,0,77.4,2840,0,8,long-term,1.0,2,Tier 3,0,77.2,0,1,74.9,1.26,1.5,41.5,5.0,1141,90.9,16,4.2,92.0,75.3,0,11.4,29,8,sea,0,1,1
Mongolia,East Asia,0.59,32.5,1.6,31.0,0.0,0,0,53.4,2677,0,8,long-term,1.0,3,Tier 1,0,74.7,1,0,64.9,1.32,5.6,40.7,-4.2,327,93.6,21,0.3,91.1,76.4,0,0.0,20,8,land,0,1,1
Belarus,Eastern Europe,-0.73,42.5,0.4,31.0,0.0,0,0,53.9,1820,0,4,spot,1.0,3,Tier 3,1,85.9,1,0,46.7,0.83,1.3,35.1,8.6,491,88.5,1,3.1,94.2,82.4,0,3.0,26,1,land,0,1,1
China,East Asia,-0.51,75.0,30.2,43.0,0.0,0,0,50.0,2739,0,5,long-term,1.0,3,Tier 2,3,84.4,0,0,76.5,1.15,4.0,44.0,8.2,741,89.5,8,2.6,93.5,75.6,1,7.4,23,10,land,0,1,1
Switzerland,Western Europe,1.07,85.0,1.4,80.0,0.0,0,1,65.1,3061,0,5,long-term,6.7,3,Tier 2,3,86.6,1,0,66.7,1.1,1.6,17.0,-2.6,664,85.9,9,4.2,92.7,69.5,0,6.5,27,16,land,0,1,3
Netherlands,Western Europe,0.66,80.0,1.1,78.0,0.0,0,0,67.3,2654,1,4,spot,24.7,3,Tier 1,2,81.1,1,0,68.2,0.76,-3.8,18.8,10.1,337,93.4,12,3.5,96.2,71.3,0,3.9,21,5,sea,0,1,0
Latvia,Eastern Europe,0.59,57.5,0.5,60.0,0.0,0,0,62.0,2247,0,6,spot,14.5,3,Tier 1,0,89.3,1,0,55.6,0.02,3.0,27.0,9.5,864,90.8,18,1.0,94.1,66.7,0,4.8,22,1,land,1,1,0
